CODMES,CODSOLICITUD,TARJETA_RELACIONADA,VEHICULAR_RELACIONADA,HIPOTECARIO_RELACIONADA,FLG_PDH,NUMERO_DE_PAGOS_PDH,SEGMENTOCLIENTE_RECLA_ENC,ZONA_CALLAO,ZONA_CENTRO,ZONA_LA_LIBERTAD,ZONA_LIMA,ZONA_MADRE_DE_DIOS,ZONA_NORTE,ZONA_NO_INFORMADO,ZONA_SUR,ZONA_TACNA,ESTADO_CIVIL_TM,ESTADO_CIVIL_CAS,ESTADO_CIVIL_CBS,ESTADO_CIVIL_CON,ESTADO_CIVIL_NO_INFORMADO,ESTADO_CIVIL_SEP,ESTADO_CIVIL_SOL,ESTADO_CIVIL_VIU,ATRASO_MAXIMO_ULT_24M_TCS_TM,MEDIANA_AHORROS_ULT_6M_TCS_TM,DEUDA_TOTAL_SISTEMA_TCS_TM,CLASIF_SISTEMA_ULT_12M_TM,MONTO_DEUDA_TC_SISTEMA_TCS,INGRESO_DECLARADO_CLIENTE_TCS_TM,EDAD_T_TCS_TM,FLG_DEFAULT_12M
201309,3589,1,0,0,1,6,0,0,0,0,0,0,1,0,0,0,SOL,0,0,0,0,0,1,0,0.0,680.97,14448.13,0.0,1260.69,1983.317124,25.0,1
201309,3590,0,0,0,1,23,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,4.0,2282.47,5450.21,0.0,0.0,1843.631042,24.0,0
201309,3591,1,0,0,1,24,0,1,0,0,0,0,0,0,0,0,CAS,1,0,0,0,0,0,0,0.0,3997.0,8429.89,0.0,3423.07,1319.255861,39.0,0
201309,3592,0,0,0,1,11,0,1,0,0,0,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,987.15,34.11,2.0,34.11,2263.877509,45.0,0
201309,3593,1,0,1,1,11,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,2.0,14206.55,48636.71,0.0,9519.397500000001,6696.8683588,38.0,0
201309,3594,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,2.0,18925.7,30000.0,0.0,0.0,4869.248841,40.0,0
201309,3595,1,0,0,1,22,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,1042.12,48636.71,2.0,9519.397500000001,3774.55705,29.0,0
201309,3596,1,0,0,1,15,1,0,0,0,0,0,1,0,0,0,CAS,1,0,0,0,0,0,0,0.0,18925.7,25008.6,0.0,9519.397500000001,6696.8683588,60.0,0
201309,3597,1,0,0,1,24,1,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,0.0,15587.0,6770.49,0.0,6770.49,5888.517256,60.0,0
201309,3598,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,83.01,12927.79,4.0,0.0,1531.115174,31.0,0
201309,3599,0,0,0,1,24,0,0,0,0,0,0,1,0,0,0,CAS,1,0,0,0,0,0,0,0.0,7447.24,22145.11,0.0,9519.397500000001,2935.211256,29.0,0
201309,3600,1,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,3213.0,5665.54,0.0,1421.54,1922.690959,29.0,0
201309,3601,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,CBS,0,1,0,0,0,0,0,0.0,3041.44,48636.71,0.0,0.0,6223.499778,47.0,0
201309,3602,1,0,0,1,16,0,0,1,0,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,2872.34,910.0,0.0,910.0,1603.966521,30.0,0
201309,3603,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,0.0,486.47,42158.36,0.0,9519.397500000001,2846.465471,36.0,0
201309,3604,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,385.89,48636.71,0.0,7472.72,2662.872608,29.0,0
201309,3605,1,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,4328.96,5815.56,0.0,0.0,2134.22894,31.0,0
201309,3606,1,0,0,1,24,0,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,0.0,3370.48,2325.17,0.0,0.0,1503.712803,47.0,0
201309,3607,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,479.46,11008.63,0.0,6241.04,1812.484258,36.0,0
201309,3608,1,0,0,1,24,0,1,0,0,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,4218.53,68.29,2.0,68.29,1694.673803,36.0,0
201309,3609,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,1953.77,14172.718854229795,1.0,0.0,2083.453984,37.0,1
201309,3610,1,0,0,1,24,0,0,0,0,0,0,0,0,1,0,CAS,1,0,0,0,0,0,0,0.0,17176.6,38950.05,0.0,16.96,5160.917813,46.0,0
201309,3611,0,0,0,1,24,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,2.0,13435.61,0.0,1.0,0.0,2595.127087,37.0,0
201309,3612,1,0,0,1,17,1,0,0,0,0,0,1,0,0,0,CAS,1,0,0,0,0,0,0,8.0,7680.81,48636.71,1.0,6461.54,6696.8683588,40.0,0
201309,3613,1,0,0,1,24,1,0,0,0,0,0,0,0,1,0,CBS,0,1,0,0,0,0,0,0.0,18925.7,48636.71,0.0,9519.397500000001,6696.8683588,45.0,0
201309,3614,0,0,0,1,11,0,0,1,0,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,3825.23,14172.718854229795,1.0,0.0,2133.913362,30.0,1
201309,3615,0,0,0,1,18,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,3315.55,48636.71,0.0,9519.397500000001,2963.467652759518,43.0,0
201309,3616,1,0,0,1,24,1,0,1,0,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,16651.6,6224.08,0.0,0.0,2686.077949,42.0,0
