CODMES;CODSOLICITUD;SEGMENTOCLIENTE;TARJETA_RELACIONADA;VEHICULAR_RELACIONADA;HIPOTECARIO_RELACIONADA;ATRASO_MAXIMO_ULT_24M;MESES_AHORROS_ULT_6M;MEDIANA_AHORROS_ULT_6M;DEUDA_TOTAL_SISTEMA;CLASIF_SISTEMA_ULT_12M;FLG_PDH;NUMERO_DE_PAGOS_PDH;MONTO_DEUDA_TC_SISTEMA;INGRESO_DECLARADO_CLIENTE;ZONA_DEL_DESEMBOLSO;ESTADO_CIVIL;EDAD_T;LINEA_DE_TC_SISTEMA;FLG_DEFAULT_12M
201310;5087;CLIENTES ORO;1;0;0;2;;519.5;14559.16;0;0;0;7900.35;1792.721747;ICA;SOL;31;5300;0
201310;5088;CLIENTES ORO;1;0;0;2;;536.21;;;1;24;0;1517.848857;MOQUEGUA;SOL;60;3500;0
201310;5089;CLIENTES ORO;1;0;0;2;;1436.31;0;0;1;4;0;1814.343694;LIMA_NORTE;SOL;28;5700;0
201310;5090;CLIENTES ORO;0;0;0;2;;6226.48;0;0;0;0;0;1835.975574;CALLAO;SOL;36;7087;0
201310;5091;CLIENTES ORO;1;0;0;2;;1218.91;;;1;24;0;1409.626152;LIMA_NORTE;CAS;39;7600;0
201310;5092;CLIENTES ORO;1;0;0;2;;896.97;15474.92;0;1;24;0;2494.1321;LIMA_SUR;CON;45;1550;0
201310;5093;CLIENTES ORO;1;0;0;2;;512.28;0;3;0;0;0;1441.416487;AREQUIPA;SOL;34;14200;1
201310;5094;CLIENTES ORO;1;0;0;2;;10096.61;13885.4;0;1;24;5366.34;2018.125996;LIMA_NORTE;SOL;54;6000;0
201310;5095;CLIENTES SIGNATURE;0;0;0;2;;2101.26;283.37;0;1;13;283.37;2362.463764;LIMA_ESTE;SOL;35;19541;0
201310;5096;CLIENTES ORO;0;0;0;2;;2161.89;7055.14;0;1;24;7055.14;1290.438841;LA_LIBERTAD;SOL;45;12995;0
201310;5097;CLIENTES ORO;1;0;0;2;;1133.91;7999.15;0;1;11;95.57;2001.841983;AREQUIPA;SOL;35;700;0
201310;5098;CLIENTES ORO;0;0;0;2;;1996.29;;0;1;24;0;1778.980734;LIMA_MODERNA;SOL;27;5750;0
201310;5099;CLIENTES PLATINUM SEGM 2;1;0;0;2;;7508.16;37437.25;0;1;17;16689.42;4356.849112;LIMA_MODERNA;SOL;43;11449;1
201310;5100;CLIENTES ORO;0;0;0;2;;401.27;133.23;0;1;17;0;1287.56877;ANCASH;SOL;46;14669;1
201310;5101;CLIENTES ORO;1;0;0;2;;1563.86;238.35;0;0;1;0;1782.509408;LIMA_PROV;SOL;41;14200;0
201310;5102;CLIENTES ORO;1;0;0;2;;8426.52;2999.19;4;1;24;2999.19;1649.964904;LIMA_NORTE;SOL;26;3000;0
201310;5103;CLIENTES ORO;1;0;0;2;;5507.36;10000;0;1;24;0;3640.334321;AREQUIPA;SOL;30;14550;0
201310;5104;CLIENTES ORO;1;0;0;2;;2885.53;0;0;1;24;0;1676.204744;LIMA_NORTE;SOL;26;3600;0
201310;5105;CLIENTES ORO;0;0;0;2;;1960.44;;;1;17;0;2113.248926;LIMA_MODERNA;SOL;24;15598;0
201310;5106;CLIENTES ORO;1;0;0;2;;1411.61;6364.17;0;1;7;0;1944.842609;CUZCO;SOL;43;1550;0
201310;5107;CLIENTES ORO;0;0;0;2;;588.07;5390.35;0;0;0;5278.54;1338.101054;LIMA_CENTRO;SOL;29;10795;0
201310;5108;CLIENTES ORO;1;0;0;2;;542.36;34669.45;0;1;18;10861.65;2318.532078;HUANUCO;SOL;33;1700;0
201310;5109;CLIENTES ORO;0;0;0;2;;1923.69;4.36;0;1;15;4.36;1506.306127;LIMA_NORTE;SOL;24;2633;0
201310;5110;CLIENTES ORO;1;0;0;2;;2719.88;0;0;1;24;0;1306.160689;LIMA_CENTRO;SOL;34;2805;0
201310;5111;CLIENTES PLATINUM SEGM 2;1;0;0;2;;1293.84;21015.9;0;1;2;1549.84;2290.517318;LIMA_NORTE;SOL;27;1100;0
201310;5112;CLIENTES PLATINUM SEGM 2;1;0;0;2;;2749.28;222950.93;1;0;1;40216.64;4138.872875;LIMA_MODERNA;SEP;51;30000;0
201310;5113;CLIENTES ORO;1;0;0;2;;1644.03;2715.72;0;1;24;2715.72;1321.392634;LIMA_NORTE;SOL;35;1300;0
201310;5114;CLIENTES PLATINUM SEGM 2;1;0;0;2;;20015;5095.42;0;1;10;5095.42;11214.1175;LIMA_MODERNA;SOL;33;81800;0
201310;5115;CLIENTES PLATINUM SEGM 2;0;0;0;0;;5296.33;36527.65;0;1;24;36527.65;2730.370731;LIMA_MODERNA;CAS;40;376;0
201310;5116;CLIENTES ORO;1;0;0;1;;1566.07;17925.46;0;0;1;836.81;2087.876136;CAJAMARCA;SOL;26;1700;1
201310;5117;CLIENTES PLATINUM SEGM 2;1;1;0;0;;13964.46;40039.55;0;1;24;10909.55;7200.055462;LIMA_NORTE;CAS;63;2000;0
201310;5118;CLIENTES ORO;1;0;0;0;;14701.8;40164.1;0;0;1;9779.97;6497.617714;LIMA_MODERNA;SOL;31;5900;0
201310;5119;CLIENTES PLATINUM SEGM 2;0;0;0;12;;11553.83;62616.38;1;1;2;1330.23;2611.138186;ICA;SOL;28;7725;0
201310;5120;CLIENTES ORO;1;0;0;0;;20938;389.25;0;1;24;389.25;2964.032663;LIMA_SUR;SOL;55;30000;0
201310;5121;CLIENTES ORO;1;0;0;0;;3143.66;4179.24;0;1;21;4179.24;;LIMA_ESTE;SOL;22;6300;0
201310;5122;CLIENTES ORO;1;0;0;0;;1741.43;0;0;1;18;0;1388.877466;LIMA_MODERNA;SOL;27;600;0
201310;5123;CLIENTES ORO;0;0;0;0;;8814.49;;0;1;24;0;1958.834259;LIMA_ESTE;SOL;45;18940;0
201310;5124;CLIENTES PLATINUM SEGM 2;1;0;0;0;;1883.77;10588.1;0;1;24;0;3155.71807;AREQUIPA;SOL;35;15000;0
201310;5125;CLIENTES ORO;0;0;0;0;;927.51;;0;1;2;0;1281.245621;LIMA_PROV;SOL;27;15535;0
201310;5126;CLIENTES PLATINUM SEGM 2;1;0;0;0;;20462;5094.41;0;1;24;5094.41;15539.86284;LIMA_MODERNA;CAS;60;63000;0
201310;5127;CLIENTES ORO;1;0;0;2;;4937.13;15986.34;1;1;23;0;1825.079374;JUNIN;SOL;24;1395;0
201310;5128;CLIENTES ORO;1;0;0;0;;1043.18;3271.54;0;1;15;3271.54;2092.442461;CUZCO;CAS;37;4500;0
201310;5129;CLIENTES PLATINUM SEGM 2;0;0;0;0;;17405;1500.05;0;0;1;1500.05;6762.448652;ANCASH;SOL;40;11206;0
201310;5130;CLIENTES ORO;1;0;0;0;;1023.32;527.41;0;1;24;527.41;2004.488072;LIMA_MODERNA;SOL;23;3600;0
201310;5131;CLIENTES ORO;1;0;0;0;;195;4780.34;0;1;24;0;1646.830801;PUNO;SOL;28;1000;0
201310;5132;CLIENTES ORO;1;0;0;0;;5966.8;;4;1;24;0;1593.688587;AREQUIPA;SOL;49;4500;0
